ASM_ACCESSION,NCBI_TAXID,SPECIES_IN,STRAIN,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES
GCF_000011425.1_ASM1142v1,227321,Aspergillus nidulans FGSC A4,FGSC A4,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus nidulans
GCF_000002855.4_ASM285v2,5061,Aspergillus niger,,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger
GCF_001204775.2_ASM120477v2,1509407,Aspergillus nomiae NRRL 13137,NRRL 13137,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus nomiae
GCF_002847465.1_Aspnov1,1392255,Aspergillus novofumigatus IBT 16806,IBT 16806,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus novofumigatus
GCA_009176405.1_Aspnovo1,986946,Aspergillus novoparasiticus,CBS 126849,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus novoparasiticus
GCF_002846915.1_Aspergillus_ochraceoroseus_IBT_24754_v1.1,1392256,Aspergillus ochraceoroseus IBT 24754,IBT 24754,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ochraceoroseus
GCA_004849945.1_AoFc,40380,Aspergillus ochraceus,fc-1,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ochraceus
GCA_014250555.1_ASM1425055v1,1774284,Aspergillus oerlinghausenensis,CBS 139183,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus oerlinghausenensis
GCA_047715755.1_Aspoli1_1,1250372,Aspergillus oleicola,CBS 597.65,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus oleicola
GCA_003719415.1_ASM371941v1,2184023,Aspergillus olivimuriae,NRRL 66783,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus olivimuriae
GCF_000184455.2_ASM18445v3,510516,Aspergillus oryzae RIB40,RIB40,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus oryzae
GCA_025592935.1_ASM2559293v1,138279,Aspergillus ostianus,IFST Aos1,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ostianus
GCA_027569225.1_ASM2756922v1,41747,Aspergillus panamensis,NRRL 1786,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus panamensis
GCA_028505765.1_ASM2850576v1,5067,Aspergillus parasiticus,MRI410,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus parasiticus
GCA_002215965.1_ASM221596v1,306094,Aspergillus persii,NIBRFGC000004109,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus persii
GCA_003344505.1_Aspph1,1353007,Aspergillus phoenicis ATCC 13157,ATCC 13157,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus phoenicis
GCF_003184755.1_Asppip1,1448313,Aspergillus piperis CBS 112811,CBS 112811,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus piperis
GCA_037044195.1_ASM3704419v1,1458898,Aspergillus pragensis,LH_A260,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pragensis
GCA_056320485.1_ASM5632048v1,41414,Aspergillus proliferans,EXF-15555,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus proliferans
GCA_021436995.1_ASM2143699v1,469277,Aspergillus protuberus,HOSP050413_4_129,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus protuberus
GCA_009193665.1_Asppsec1,1825620,Aspergillus pseudocaelatus,CBS 117616,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudocaelatus
GCF_044049435.1_Asppdef1,176178,Aspergillus pseudodeflectus,CBS 756.74,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudodeflectus
GCA_039880875.1_ASM3988087v1,1405805,Aspergillus pseudoglaucus,E42,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudoglaucus
GCF_009193645.1_Asppsen1,1506151,Aspergillus pseudonomiae,CBS 119388,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudonomiae
GCF_009193445.1_Asppset1,132259,Aspergillus pseudotamarii,CBS 117625,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudotamarii
GCA_002927005.1_ASM292700v1,1565506,Aspergillus pseudoterreus,ATCC 32359,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudoterreus
GCA_044049465.1_Asppust1,1810923,Aspergillus pseudoustus,CBS 123904,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudoustus
GCF_018340605.1_Asppvi_assembly01,1517512,Aspergillus pseudoviridinutans,IFM 55266,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudoviridinutans
GCF_016861865.1_ApuulaauensisMK2_assembly01,1220207,Aspergillus puulaauensis,MK2,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus puulaauensis
GCA_022814375.1_ASM2281437v1,41053,Aspergillus quadricinctus,FKII-L3-BK-DRAB1,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus quadricinctus
GCA_041684375.1_ASM4168437v1,41735,Aspergillus quadrilineatus,8,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus quadrilineatus
GCA_000986645.1_ASM98664v1,308745,Aspergillus rambellii,SRRC1468,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus rambellii
GCA_047715885.1_Asprec1_1,41761,Aspergillus recurvatus,CBS 496.65,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus recurvatus
GCF_000600275.1_Eurhe1,1388766,Aspergillus ruber CBS 135680,CBS 135680,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ruber
GCA_047496445.1_ASM4749644v1,3014060,Aspergillus saccharicola,IBT 36126,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus saccharicola
GCF_003184585.1_Aspsac1,1450539,Aspergillus saccharolyticus JOP 1030-1,JOP 1030-1,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus saccharolyticus
GCA_003589665.1_phiScl_1.0,2070753,Aspergillus sclerotialis,CBS 366.77,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sclerotialis
GCA_003184635.1_Aspscle1,1448318,Aspergillus sclerotiicarbonarius CBS 121057,CBS 121057,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sclerotiicarbonarius
GCF_003184525.1_Aspscl1,1450535,Aspergillus sclerotioniger CBS 115572,CBS 115572,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sclerotioniger
GCA_025592505.1_ASM2559250v1,138282,Aspergillus sclerotiorum,IFST Ascl1,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sclerotiorum
GCA_009193525.1_Aspser1,1034303,Aspergillus sergii,CBS 130017,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sergii
GCA_047715515.1_Aspsim1_1,1810925,Aspergillus similis,CBS 293.93,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus similis
GCA_008274985.1_ASM827498v1,41058,Aspergillus sojae,SMF134,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sojae
GCA_027569235.1_ASM2756923v1,37232,Aspergillus sparsus,NRRL 1933,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sparsus
GCA_047715635.1_Aspspe1_1,41731,Aspergillus spectabilis,CBS 429.77A,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus spectabilis
GCA_041684855.1_ASM4168485v1,1810908,Aspergillus spinulosporus,5845,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus spinulosporus
GCF_047715825.1_Aspstel1_1,1810926,Aspergillus stella-maris,CBS 113639,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus stella-maris
GCF_002849105.1_Aspste1,1392250,Aspergillus steynii IBT 23096,IBT 23096,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus steynii
GCA_037044295.1_ASM3704429v1,1220208,Aspergillus subversicolor,LH_A137,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subversicolor
GCF_001890705.1_Aspsy1,1036612,Aspergillus sydowii CBS 593.65,CBS 593.65,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sydowii
GCA_002850765.1_Asptaic1,482145,Aspergillus taichungensis,IBT 19404,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus taichungensis
GCA_030556085.1_ASM3055608v1,41984,Aspergillus tamarii,TPD11,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus tamarii
GCF_003426965.1_ASM342696v1,1220188,Aspergillus tanneri,NIH1004,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus tanneri
GCA_037043975.1_ASM3704397v1,1220210,Aspergillus tennesseensis,LH_A417,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus tennesseensis
GCF_000149615.1_ASM14961v1,341663,Aspergillus terreus NIH2624,NIH2624,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus terreus
GCA_047715525.1_Aspind2_1,138288,Aspergillus terricola var. indicus,CBS 952.97,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus terricola
GCA_045791975.1_Asptetr1,1883080,Aspergillus tetrazonus,CBS 591.65A,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus tetrazonus
GCA_046128075.1_USDA_Atex_1,2495910,Aspergillus texensis,NRRL66858,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus texensis
GCF_002237265.1_ASM223726v2,41047,Aspergillus thermomutatus,HMR AF 39,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus thermomutatus
GCA_046128015.1_USDA_Atox_1,2746219,Aspergillus toxicus (nom. inval.),NRRL66898,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus toxicus (nom. inval.)
GCA_009193505.1_Asptra1,1034304,Aspergillus transmontanensis,CBS 130015,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus transmontanensis
GCF_013340325.1_ASM1334032v1,5068,Aspergillus tubingensis,WU-2223L,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus tubingensis
GCA_002234965.2_ASM223496v2,1245748,Aspergillus turcosus,HMR AF 23,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus turcosus
GCF_001078395.1_Aud_assembly02,91492,Aspergillus udagawae,IFM 46973,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus udagawae
GCF_047715775.1_Aspund1_1,1810928,Aspergillus undulatus,CBS 261.88,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus undulatus
GCA_018408605.1_ASM1840860v1,40381,Aspergillus unguis,F6_8S_P_4A,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus unguis
GCA_040285355.1_ASM4028535v1,40382,Aspergillus ustus,AUSTUSMSU,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ustus
GCF_003184745.1_Aspuva1,1448315,Aspergillus uvarum CBS 121591,CBS 121591,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus uvarum
GCF_003184925.1_Aspvad1,1448311,Aspergillus vadensis CBS 113365,CBS 113365,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus vadensis
GCA_047715575.1_Aspvar1,176181,Aspergillus varians,CBS 505.65,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus varians
GCA_047715615.1_Aspven1,1810929,Aspergillus venezuelensis,CBS 868.97,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus venezuelensis
GCA_039955225.1_Aver_NBRC115547_1.0,3033834,Aspergillus verrucosus,NBRC 115547,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus verrucosus
GCF_001890125.1_Aspve1,1036611,Aspergillus versicolor CBS 583.65,CBS 583.65,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus versicolor
GCA_003184705.1_Aspvio1,1450538,Aspergillus violaceofuscus CBS 115571,CBS 115571,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus violaceofuscus
GCF_018404265.1_Aspvir_assembly01,75553,Aspergillus viridinutans,IFM 47045,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus viridinutans
GCA_056320585.1_ASM5632058v1,469283,Aspergillus vitricola,EXF-10463,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus vitricola
GCF_003344945.1_Aspwel1,1341132,Aspergillus welwitschiae,CBS 139.54b,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus welwitschiae
GCF_001890725.1_Aspwe1,1073089,Aspergillus wentii DTO 134E9,DTO 134E9,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus wentii
GCA_019976475.1_ASM1997647v1,357447,Aspergillus westerdijkiae,IBT 35663,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus westerdijkiae
GCA_964257315.1_public_SRR14721980_metabat2_bin.4,471837,Aspicilia laevata,,Ascomycota,,Lecanoromycetes,,Pertusariales,Megasporaceae,Aspicilia,Aspicilia laevata
GCA_014805555.1_ASM1480555v1,164912,Astathelohania contejeani,T1,Microsporidia,,,,,Astathelohaniidae,Astathelohania,Astathelohania contejeani
GCA_018850815.1_ASM1885081v1,117017,Asterophora lycoperdoides,D37,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Asterophora,Asterophora lycoperdoides
GCA_018282005.1_ASM1828200v1,117018,Asterophora parasitica,AP01,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Asterophora,Asterophora parasitica
GCA_016618355.2_ASM1661835v2,265491,Astraeus odoratus,MTA1-3,Basidiomycota,,Agaricomycetes,,Boletales,Astraeaceae,Astraeus,Astraeus odoratus
GCA_022453515.1_Astsub1,743114,Astrocystis sublimbata,CBS 130006,Ascomycota,,Sordariomycetes,,Xylariales,Xylariaceae,Astrocystis,Astrocystis sublimbata
GCA_021030915.1_ASM2103091v1,1808323,Astrothelium macrocarpum,NSR6,Ascomycota,,Dothideomycetes,,Trypetheliales,Trypetheliaceae,Astrothelium,Astrothelium macrocarpum
GCA_021030935.1_ASM2103093v1,2820137,Astrothelium subdiscretum,UBN165,Ascomycota,,Dothideomycetes,,Trypetheliales,Trypetheliaceae,Astrothelium,Astrothelium subdiscretum
GCA_001630335.1_Fibsp1,1759441,Athelia psychrophila,CBS 109695,Basidiomycota,,Agaricomycetes,,Atheliales,Atheliaceae,Athelia,Athelia psychrophila
GCA_000729835.1_AhypB4728v1,47741,Atkinsonella hypoxylon,B4728,Ascomycota,,Sordariomycetes,,Hypocreales,Clavicipitaceae,Atkinsonella,Atkinsonella hypoxylon
GCA_001008035.1_Atex_B6155_v1,51582,Atkinsonella texensis,B6155,Ascomycota,,Sordariomycetes,,Hypocreales,Clavicipitaceae,Atkinsonella,Atkinsonella texensis
GCA_021432655.1_Atrsp2,1938712,Atractiella rhizophila,PMI 95,Basidiomycota,,Atractiellomycetes,,Atractiellales,Hoehnelomycetaceae,Atractiella,Atractiella rhizophila
GCA_045526815.1_TL_AC_CBS180.31,57168,Atractium crassum,CBS 180.31,Ascomycota,,Sordariomycetes,,Hypocreales,Nectriaceae,Atractium,Atractium crassum
GCA_045526835.1_TL_AS_CBS410.67,1053015,Atractium stilbaster,CBS 410.67,Ascomycota,,Sordariomycetes,,Hypocreales,Nectriaceae,Atractium,Atractium stilbaster
GCA_010015705.1_Aulhe2,1176131,Aulographum hederae CBS 113979,CBS 113979,Ascomycota,,Dothideomycetes,,Aulographales,Aulographaceae,Aulographum,Aulographum hederae
GCA_015251385.1_ASM1525138v1,3424008,Aureobasidium aubasidani,CBS 100524,Ascomycota,,Dothideomycetes,,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium aubasidani
GCA_054135185.1_ASM5413518v1,2795744,Aureobasidium castaneae,ZX033,Ascomycota,,Dothideomycetes,,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium castaneae
GCA_019775405.1_ASM1977540v1,1093200,Aureobasidium leucospermi,VS I D KN 2,Ascomycota,,Dothideomycetes,,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium leucospermi
GCA_022813425.1_ASM2281342v1,1836197,Aureobasidium lini,FJII-L3-CM-P3,Ascomycota,,Dothideomycetes,,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium lini
GCA_021014315.1_SQU_Amang_1.1,2895399,Aureobasidium mangrovei,SARA-138H,Ascomycota,,Dothideomycetes,,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium mangrovei
GCF_000721775.1_Aureobasidium_pullulans_var._melanogenum_CBS_110374_v1.0,1043003,Aureobasidium melanogenum CBS 110374,CBS 110374,Ascomycota,,Dothideomycetes,,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium melanogenum
GCA_903819665.1_AWRI4233,2773714,Aureobasidium mustum,,Ascomycota,,Dothideomycetes,,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium mustum
GCF_000721765.1_Aureobasidium_pullulans_var._namibiae_CBS_147.97_v1.0,1043004,Aureobasidium namibiae CBS 147.97,CBS 147.97,Ascomycota,,Dothideomycetes,,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium namibiae
GCF_000721785.1_Aureobasidium_pullulans_var._pullulans_EXF-150_assembly_version_1.0,1043002,Aureobasidium pullulans EXF-150,EXF-150,Ascomycota,,Dothideomycetes,,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans
GCF_000721755.1_Aureobasidium_pullulans_var._subglaciale_EXF-2481_v1.0,1043005,Aureobasidium subglaciale EXF-2481,EXF-2481,Ascomycota,,Dothideomycetes,,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium subglaciale
GCA_042608425.1_ASM4260842v1,2651129,Aureobasidium tremulum,UN1,Ascomycota,,Dothideomycetes,,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium tremulum
GCA_903853725.1_AWRI4620,2773716,Aureobasidium uvarum,,Ascomycota,,Dothideomycetes,,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium uvarum
GCA_903819635.1_AWRI4619,2773715,Aureobasidium vineae,,Ascomycota,,Dothideomycetes,,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium vineae
GCA_048593495.1_ASM4859349v1,1592451,Aureobasidium zeae,15JLMHKDK516,Ascomycota,,Dothideomycetes,,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium zeae
GCA_038089615.1_NY815461-Aureoboletus-auriporus,388835,Aureoboletus auriporus,NY815461,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Aureoboletus,Aureoboletus auriporus
GCA_965113095.1_gfAurGent2.1,388837,Aureoboletus gentilis,,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Aureoboletus,Aureoboletus gentilis
GCA_002092955.1_ASM209295v1,29892,Auricularia auricula-judae,B14-8,Basidiomycota,,Agaricomycetes,,Auriculariales,Auriculariaceae,Auricularia,Auricularia auricula-judae
GCA_030578095.1_ASM3057809v1,1238391,Auricularia cornea,ACW001,Basidiomycota,,Agaricomycetes,,Auriculariales,Auriculariaceae,Auricularia,Auricularia cornea
GCA_050574865.1_ASM5057486v1,1579977,Auricularia heimuer,Hei29-D2,Basidiomycota,,Agaricomycetes,,Auriculariales,Auriculariaceae,Auricularia,Auricularia heimuer
GCA_003316125.1_ASM331612v1,29893,Auricularia polytricha,MG66,Basidiomycota,,Agaricomycetes,,Auriculariales,Auriculariaceae,Auricularia,Auricularia polytricha
GCA_000265015.1_Auricularia_subglabra_SS-5_V1.0,717982,Auricularia subglabra TFB-10046 SS5,TFB-10046 SS5,Basidiomycota,,Agaricomycetes,,Auriculariales,Auriculariaceae,Auricularia,Auricularia subglabra
GCA_027559495.1_ASM2755949v1,977972,Aurifilum marmelostoma,BCRC FU30571,Ascomycota,,Sordariomycetes,,Diaporthales,Cryphonectriaceae,Aurifilum,Aurifilum marmelostoma
GCA_019914985.1_ASM1991498v1,2841979,Auriscalpium microsporum,AU-H-210,Basidiomycota,,Agaricomycetes,,Russulales,Auriscalpiaceae,Auriscalpium,Auriscalpium microsporum
GCA_019915035.1_ASM1991503v1,2841978,Auriscalpium orientale,AU-Y-A,Basidiomycota,,Agaricomycetes,,Russulales,Auriscalpiaceae,Auriscalpium,Auriscalpium orientale
GCA_019915015.1_ASM1991501v1,40419,Auriscalpium vulgare,CBS 236.39,Basidiomycota,,Agaricomycetes,,Russulales,Auriscalpiaceae,Auriscalpium,Auriscalpium vulgare
GCA_030563705.1_ASM3056370v1,374337,Australozyma bambusicola,CBS 11723,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Australozyma,Australozyma bambusicola
GCA_003614695.1_Metbi_SCcomb,3459182,Australozyma monospora,Baker2002,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Australozyma,Australozyma monospora
GCA_030563825.1_ASM3056382v1,374343,Australozyma nongkhaiensis,CBS 11724,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Australozyma,Australozyma nongkhaiensis
GCA_030582875.1_ASM3058287v1,291308,Australozyma picinguabensis,NRRL Y-27814,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Australozyma,Australozyma picinguabensis
GCA_030568975.1_ASM3056897v1,1041605,Australozyma robnettiae,CBS 8580T,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Australozyma,Australozyma robnettiae
GCA_030569455.1_ASM3056945v1,1217583,Australozyma saccharicola,CBS 12575T,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Australozyma,Australozyma saccharicola
GCF_035610405.1_ASM3561040v1,291208,Australozyma saopauloensis,19XY460,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Australozyma,Australozyma saopauloensis
GCA_030563905.1_ASM3056390v1,748098,Australozyma succicola,CBS 11726,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Australozyma,Australozyma succicola
GCA_030566735.1_ASM3056673v1,432114,Australozyma touchengensis,CBS 10585,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Australozyma,Australozyma touchengensis
GCA_038090175.1_NY2072517-Austroboletus-eburneus,1278223,Austroboletus eburneus,NY2072517,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Austroboletus,Austroboletus eburneus
GCA_038088875.1_TH9250-Austroboletus-festivus,1691418,Austroboletus festivus,G4425,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Austroboletus,Austroboletus festivus
GCA_038090255.1_NY2072385-Austroboletus-niveus,388839,Austroboletus niveus,NY2072385,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Austroboletus,Austroboletus niveus
GCA_038090275.1_NY1491240-Austroboletus-novazelandiae,1282282,Austroboletus novae-zelandiae,NY1491204,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Austroboletus,Austroboletus novae-zelandiae
GCA_038093615.1_KD12250-Austroboletus-olicaceoglutinosus,1586323,Austroboletus olivaceoglutinosus,KD12250,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Austroboletus,Austroboletus olivaceoglutinosus
GCA_038089255.1_TH10071-Austroboletus-rostrupii,1495895,Austroboletus rostrupii,G4404,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Austroboletus,Austroboletus rostrupii
GCA_023105745.2_Au3_v3_hapA,181123,Austropuccinia psidii,Au3-C622-A115012,Basidiomycota,,Pucciniomycetes,,Pucciniales,Sphaerophragmiaceae,Austropuccinia,Austropuccinia psidii
GCF_001661335.1_Babin1,984486,Babjeviella inositovora NRRL Y-12698,NRRL Y-12698,Ascomycota,,Pichiomycetes,,Serinales,,Babjeviella,Babjeviella inositovora
GCF_019456465.1_ASM1945646v1,2732470,Bacidia gigantensis,McMullin 20006,Ascomycota,,Lecanoromycetes,,Lecanorales,Ramalinaceae,Bacidia,Bacidia gigantensis
GCA_032158265.1_ASM3215826v1,161806,Bacidia rubella,M-0307710,Ascomycota,,Lecanoromycetes,,Lecanorales,Ramalinaceae,Bacidia,Bacidia rubella
GCA_024140565.1_ASM2414056v1,2583354,Backusella australiensis,UoMAU90,Mucoromycota,,Mucoromycetes,,Mucorales,Backusellaceae,Backusella,Backusella australiensis
GCA_025399235.1_Bacci1,1314798,Backusella circina FSU 941,FSU 941,Mucoromycota,,Mucoromycetes,,Mucorales,Backusellaceae,Backusella,Backusella circina
GCA_024140265.1_ASM2414026v1,2583357,Backusella liffmaniae,UoMAU58,Mucoromycota,,Mucoromycetes,,Mucorales,Backusellaceae,Backusella,Backusella liffmaniae
GCA_024140195.1_ASM2414019v1,2583358,Backusella luteola,UoMAU6,Mucoromycota,,Mucoromycetes,,Mucorales,Backusellaceae,Backusella,Backusella luteola
GCA_024139275.1_ASM2413927v1,2583359,Backusella macrospora,UoMAU7,Mucoromycota,,Mucoromycetes,,Mucorales,Backusellaceae,Backusella,Backusella macrospora
GCA_024139405.1_ASM2413940v1,2583360,Backusella mclennaniae,UoMAU11,Mucoromycota,,Mucoromycetes,,Mucorales,Backusellaceae,Backusella,Backusella mclennaniae
